Team,Status,Team rating,CB,LB,RB,ST,CM,AM,LM,DM,LW,RW,RM,Rival team rating,CBr,LBr,RBr,STr,CMr,AMr,LMr,DMr,LWr,RWr,RMr,Result,Round,Team_encoded,Status_encoded
Man city,Guest,7.3,2,1,1,1,0,1,0,2,1,1,0,6.0,3,1,1,1,2,0,1,0,0,0,1,Win,1,12,0
Burnley,Home,6.0,3,1,1,1,2,0,1,0,0,0,1,7.3,2,1,1,1,0,1,0,2,1,1,0,Lost,1,5,1
Arsenal,Home,7.4,2,1,1,1,3,0,0,0,1,1,0,6.5,3,0,0,1,2,0,1,0,1,1,1,Win,1,0,1
Nottm forest,Guest,6.5,3,0,0,1,2,0,1,0,1,1,1,7.4,2,1,1,1,3,0,0,0,1,1,0,Lost,1,15,0
Bournemouth,Home,6.6,2,1,1,1,0,1,0,2,1,1,0,7.2,2,1,1,1,0,1,0,2,1,1,0,Draw,1,2,1
West ham,Guest,7.2,2,1,1,1,0,1,0,2,1,1,0,6.6,2,1,1,1,0,1,0,2,1,1,0,Draw,1,18,0
Brighton,Home,7.4,2,1,1,1,0,1,0,2,1,1,0,6.3,3,0,0,2,3,0,1,0,0,0,1,Win,1,4,1
Luton,Guest,6.3,3,0,0,2,3,0,1,0,0,0,1,7.4,2,1,1,1,0,1,0,2,1,1,0,Lost,1,11,0
Everton,Home,6.7,2,1,1,1,2,1,1,0,0,0,1,7.1,2,1,1,1,3,0,0,0,1,1,0,Lost,1,8,1
Fulham,Guest,7.1,2,1,1,1,3,0,0,0,1,1,0,6.7,2,1,1,1,2,1,1,0,0,0,1,Win,1,9,0
Sheffiled utd,Home,6.4,3,0,0,2,3,0,1,0,0,0,1,7.8,2,1,1,1,0,1,0,2,1,1,0,Lost,1,16,1
Crystal palace,Guest,7.8,2,1,1,1,0,1,0,2,1,1,0,6.4,3,0,0,2,3,0,1,0,0,0,1,Win,1,7,0
Newcatle,Home,7.7,2,1,1,1,3,0,0,0,1,1,0,6.1,2,1,1,2,2,0,0,1,0,0,1,Win,1,14,1
Aston Villa,Guest,6.1,2,1,1,2,2,0,0,1,0,0,1,7.7,2,1,1,1,3,0,0,0,1,1,0,Lost,1,1,0
Brentford,Home,6.7,3,1,1,2,3,0,0,0,0,0,0,7.3,2,1,1,0,1,1,0,2,1,1,0,Draw,1,3,1
Tottenham,Guest,7.3,2,1,1,0,1,1,0,2,1,1,0,6.7,3,1,1,2,3,0,0,0,0,0,0,Draw,1,17,0
Chelsea,Home,7.1,3,0,0,2,3,0,1,0,0,0,1,7.0,2,1,1,1,3,0,0,0,1,1,0,Draw,1,6,1
Liverpool,Guest,7.0,2,1,1,1,3,0,0,0,1,1,0,7.1,3,0,0,2,3,0,1,0,0,0,1,Draw,1,10,0
Man utd,Home,7.1,2,1,1,1,0,1,0,2,1,1,0,7.1,2,1,1,2,2,0,1,0,0,0,1,Win,1,13,1
Wolves,Guest,7.1,2,1,1,2,2,0,1,0,0,0,1,7.1,2,1,1,1,0,1,0,2,1,1,0,Lost,1,19,0
Nottm forest,Home,7.3,3,0,0,1,2,0,1,0,1,1,1,6.5,3,0,0,1,2,2,1,0,0,0,1,Win,2,15,1
Sheffiled utd,Guest,6.5,3,0,0,1,2,2,1,0,0,0,1,7.3,3,0,0,1,2,0,1,0,1,1,1,Lost,2,16,0
Fulham,Home,6.3,2,1,1,1,3,0,0,0,1,1,0,7.2,2,1,1,1,3,0,0,0,1,1,0,Lost,2,9,1
Brentford,Guest,7.2,2,1,1,1,3,0,0,0,1,1,0,6.3,2,1,1,1,3,0,0,0,1,1,0,Win,2,3,0
Liverpool,Home,7.4,2,1,1,1,3,0,0,0,1,1,0,6.4,2,1,1,1,0,1,1,2,0,0,1,Win,2,10,1
Bournemouth,Guest,6.4,2,1,1,1,0,1,1,2,0,0,1,7.4,2,1,1,1,3,0,0,0,1,1,0,Lost,2,2,0
Wolves,Home,6.3,2,1,1,2,2,0,1,0,0,0,1,7.5,2,1,1,1,0,1,0,2,1,1,0,Lost,2,19,1
Brighton,Guest,7.5,2,1,1,1,0,1,0,2,1,1,0,6.3,2,1,1,2,2,0,1,0,0,0,1,Win,2,4,0
Tottenham,Home,7.2,2,1,1,1,0,1,0,2,1,1,0,6.7,2,1,1,1,0,1,0,2,1,1,0,Win,2,17,1
Man utd,Guest,6.7,2,1,1,1,0,1,0,2,1,1,0,7.2,2,1,1,1,0,1,0,2,1,1,0,Lost,2,13,0
Man city,Home,7.6,2,1,1,1,0,1,0,2,1,1,0,6.4,2,1,1,1,3,0,0,0,1,1,0,Win,2,12,1
Newcatle,Guest,6.4,2,1,1,1,3,0,0,0,1,1,0,7.6,2,1,1,1,0,1,0,2,1,1,0,Lost,2,14,0
Aston Villa,Home,7.4,2,1,1,1,0,1,0,2,1,1,0,6.0,2,1,1,1,0,2,0,1,1,1,0,Win,2,1,1
Everton,Guest,6.0,2,1,1,1,0,2,0,1,1,1,0,7.4,2,1,1,1,0,1,0,2,1,1,0,Lost,2,8,0
West ham,Home,7.2,2,1,1,1,0,1,0,2,1,1,0,6.8,3,0,0,1,2,2,1,0,0,0,1,Win,2,18,1
Chelsea,Guest,6.8,3,0,0,1,2,2,1,0,0,0,1,7.2,2,1,1,1,0,1,0,2,1,1,0,Lost,2,6,0
Crystal palace,Home,6.8,2,1,1,1,0,1,0,2,1,1,0,7.1,2,1,1,1,3,0,0,0,1,1,0,Lost,2,7,1
Arsenal,Guest,7.1,2,1,1,1,3,0,0,0,1,1,0,6.8,2,1,1,1,0,1,0,2,1,1,0,Win,2,0,0
Luton,Home,6.8,3,0,0,1,2,2,1,0,0,0,1,7.2,2,1,1,1,0,1,0,2,1,1,0,Lost,2,11,1
Burnley,Guest,7.2,2,1,1,1,0,1,0,2,1,1,0,6.8,3,0,0,1,2,2,1,0,0,0,1,Win,2,5,0
Chelsea,Home,7.8,3,0,0,1,2,2,1,0,0,0,1,6.2,3,1,1,2,3,0,0,0,0,0,0,Win,3,6,1
Luton,Guest,6.2,3,1,1,2,3,0,0,0,0,0,0,7.8,3,0,0,1,2,2,1,0,0,0,1,Lost,3,11,0
Bournemouth,Home,6.4,2,1,1,1,0,1,0,2,1,1,0,7.4,2,1,1,1,0,1,0,2,1,1,0,Lost,3,2,1
Tottenham,Guest,7.4,2,1,1,1,0,1,0,2,1,1,0,6.4,2,1,1,1,0,1,0,2,1,1,0,Win,3,17,0
Arsenal,Home,7.1,2,1,1,1,3,0,0,0,1,1,0,6.8,2,1,1,1,3,0,0,0,1,1,0,Draw,3,0,1
Fulham,Guest,6.8,2,1,1,1,3,0,0,0,1,1,0,7.1,2,1,1,1,3,0,0,0,1,1,0,Draw,3,9,0
Brentford,Home,6.7,2,1,1,1,3,0,0,0,1,1,0,7.0,2,1,1,1,0,1,0,2,1,1,0,Draw,3,3,1
Crystal palace,Guest,7.0,2,1,1,1,0,1,0,2,1,1,0,6.7,2,1,1,1,3,0,0,0,1,1,0,Draw,3,7,0
Everton,Home,6.9,2,1,1,1,0,2,0,1,1,1,0,7.1,2,1,1,1,2,1,1,0,0,0,1,Lost,3,8,1
Wolves,Guest,7.1,2,1,1,1,2,1,1,0,0,0,1,6.9,2,1,1,1,0,2,0,1,1,1,0,Win,3,19,0
Man utd,Home,7.3,2,1,1,1,0,1,0,2,1,1,0,6.9,3,0,0,1,2,2,1,0,0,0,1,Win,3,13,1
Nottm forest,Guest,6.9,3,0,0,1,2,2,1,0,0,0,1,7.3,2,1,1,1,0,1,0,2,1,1,0,Lost,3,15,0
Brighton,Home,6.5,2,1,1,1,0,1,0,2,1,1,0,7.6,2,1,1,1,0,2,0,1,1,1,0,Lost,3,4,1
West ham,Guest,7.6,2,1,1,1,0,2,0,1,1,1,0,6.5,2,1,1,1,0,1,0,2,1,1,0,Win,3,18,0
Burnley,Home,6.4,2,1,1,2,2,0,1,0,0,0,1,7.6,3,0,0,1,2,2,1,0,0,0,1,Lost,3,5,1
Aston Villa,Guest,7.6,3,0,0,1,2,2,1,0,0,0,1,6.4,2,1,1,2,2,0,1,0,0,0,1,Win,3,1,0
Sheffiled utd,Home,6.3,3,0,0,2,3,0,1,0,0,0,1,7.8,2,1,1,1,0,1,0,2,1,1,0,Lost,3,16,1
Man city,Guest,7.8,2,1,1,1,0,1,0,2,1,1,0,6.3,3,0,0,2,3,0,1,0,0,0,1,Win,3,12,0
Newcatle,Home,6.7,2,1,1,1,3,0,0,0,1,1,0,6.8,2,1,1,1,3,0,0,0,1,1,0,Lost,3,14,1
Liverpool,Guest,6.8,2,1,1,1,3,0,0,0,1,1,0,6.7,2,1,1,1,3,0,0,0,1,1,0,Win,3,10,0
Luton,Home,6.6,3,1,1,2,3,0,0,0,0,0,0,7.3,2,1,1,1,0,1,0,2,1,1,0,Lost,4,11,1
West ham,Guest,7.3,2,1,1,1,0,1,0,2,1,1,0,6.6,3,1,1,2,3,0,0,0,0,0,0,Win,4,18,0
Sheffiled utd,Home,6.8,3,0,0,2,3,0,1,0,0,0,1,7.3,2,1,1,1,2,1,1,0,0,0,1,Draw,4,16,1
Everton,Guest,7.3,2,1,1,1,2,1,1,0,0,0,1,6.8,3,0,0,2,3,0,1,0,0,0,1,Draw,4,8,0
Brentford,Home,7.0,2,1,1,1,3,0,0,0,1,1,0,6.7,2,1,1,1,0,1,0,2,1,1,0,Draw,4,3,1
Bournemouth,Guest,6.7,2,1,1,1,0,1,0,2,1,1,0,7.0,2,1,1,1,3,0,0,0,1,1,0,Draw,4,2,0
Burnley,Home,6.2,2,1,1,2,2,0,1,0,0,0,1,7.5,2,1,1,1,0,1,0,2,1,1,0,Lost,4,5,1
Tottenham,Guest,7.5,2,1,1,1,0,1,0,2,1,1,0,6.2,2,1,1,2,2,0,1,0,0,0,1,Win,4,17,0
Chelsea,Home,6.7,3,0,0,1,2,2,1,0,0,0,1,6.9,3,0,0,1,2,2,1,0,0,0,1,Lost,4,6,1
Nottm forest,Guest,6.9,3,0,0,1,2,2,1,0,0,0,1,6.7,3,0,0,1,2,2,1,0,0,0,1,Win,4,15,0
Man city,Home,7.6,2,1,1,1,0,1,0,2,1,1,0,5.8,2,1,1,1,3,0,0,0,1,1,0,Win,4,12,1
Fulham,Guest,5.8,2,1,1,1,3,0,0,0,1,1,0,7.6,2,1,1,1,0,1,0,2,1,1,0,Lost,4,9,0
Brighton,Home,7.3,2,1,1,1,0,1,0,2,1,1,0,6.3,2,1,1,1,3,0,0,0,1,1,0,Win,4,4,1
Newcatle,Guest,6.3,2,1,1,1,3,0,0,0,1,1,0,7.3,2,1,1,1,0,1,0,2,1,1,0,Lost,4,14,0
Crystal palace,Home,7.4,2,1,1,1,0,1,0,2,1,1,0,6.9,2,1,1,1,2,1,1,0,0,0,1,Win,4,7,1
Wolves,Guest,6.9,2,1,1,1,2,1,1,0,0,0,1,7.4,2,1,1,1,0,1,0,2,1,1,0,Lost,4,19,0
Liverpool,Home,7.3,2,1,1,1,3,0,0,0,1,1,0,6.4,3,0,0,1,2,2,1,0,0,0,1,Win,4,10,1
Aston Villa,Guest,6.4,3,0,0,1,2,2,1,0,0,0,1,7.3,2,1,1,1,3,0,0,0,1,1,0,Lost,4,1,0
Arsenal,Home,7.4,2,1,1,1,3,0,0,0,1,1,0,6.3,2,1,1,1,0,1,0,2,1,1,0,Win,4,0,1
Man utd,Guest,6.3,2,1,1,1,0,1,0,2,1,1,0,7.4,2,1,1,1,3,0,0,0,1,1,0,Lost,4,13,0
Wolves,Home,6.5,2,1,1,1,0,1,0,2,1,1,0,7.3,2,1,1,1,3,0,0,0,1,1,0,Lost,5,19,1
Liverpool,Guest,7.3,2,1,1,1,3,0,0,0,1,1,0,6.5,2,1,1,1,0,1,0,2,1,1,0,Win,5,10,0
Aston Villa,Home,7.3,2,1,1,2,2,0,1,0,0,0,1,6.8,2,1,1,1,0,1,0,2,1,1,0,Win,5,1,1
Crystal palace,Guest,6.8,2,1,1,1,0,1,0,2,1,1,0,7.3,2,1,1,2,2,0,1,0,0,0,1,Lost,5,7,0
Fulham,Home,7.2,2,1,1,1,3,0,0,0,1,1,0,6.4,3,1,1,2,3,0,0,0,0,0,0,Win,5,9,1
Luton,Guest,6.4,3,1,1,2,3,0,0,0,0,0,0,7.2,2,1,1,1,3,0,0,0,1,1,0,Lost,5,11,0
Man utd,Home,6.6,2,1,1,2,0,1,0,3,0,0,0,7.2,2,1,1,1,0,1,0,2,1,1,0,Lost,5,13,1
Brighton,Guest,7.2,2,1,1,1,0,1,0,2,1,1,0,6.6,2,1,1,2,0,1,0,3,0,0,0,Win,5,4,0
Tottenham,Home,7.5,2,1,1,1,0,1,0,2,1,1,0,6.6,3,0,0,2,3,0,1,0,0,0,1,Win,5,17,1
Sheffiled utd,Guest,6.6,3,0,0,2,3,0,1,0,0,0,1,7.5,2,1,1,1,0,1,0,2,1,1,0,Lost,5,16,0
West ham,Home,6.6,2,1,1,1,0,1,0,2,1,1,0,7.8,2,1,1,1,0,1,0,2,1,1,0,Lost,5,18,1
Man city,Guest,7.8,2,1,1,1,0,1,0,2,1,1,0,6.6,2,1,1,1,0,1,0,2,1,1,0,Win,5,12,0
Newcatle,Home,7.3,2,1,1,1,3,0,0,0,1,1,0,6.7,3,0,0,2,3,0,1,0,0,0,1,Win,5,14,1
Brentford,Guest,6.7,3,0,0,2,3,0,1,0,0,0,1,7.3,2,1,1,1,3,0,0,0,1,1,0,Lost,5,3,0
Bournemouth,Home,7.1,2,1,1,1,0,1,0,2,1,1,0,7.0,2,1,1,1,0,1,0,2,1,1,0,Draw,5,2,1
Chelsea,Guest,7.0,2,1,1,1,0,1,0,2,1,1,0,7.1,2,1,1,1,0,1,0,2,1,1,0,Draw,5,6,0
Everton,Home,6.4,2,1,1,1,3,0,1,0,0,0,1,7.0,2,1,1,1,3,0,0,0,1,1,0,Lost,5,8,1
Arsenal,Guest,7.0,2,1,1,1,3,0,0,0,1,1,0,6.4,2,1,1,1,3,0,1,0,0,0,1,Win,5,0,0
Nottm forest,Home,6.9,2,1,1,1,0,1,0,2,1,1,0,6.7,2,1,1,1,0,1,0,2,1,1,0,Draw,5,15,1
Burnley,Guest,6.7,2,1,1,1,0,1,0,2,1,1,0,6.9,2,1,1,1,0,1,0,2,1,1,0,Draw,5,5,0
Crystal palace,Home,7.1,2,1,1,1,0,1,0,2,1,1,0,7.0,2,1,1,1,0,1,0,2,1,1,0,Draw,6,7,1
Fulham,Guest,7.0,2,1,1,1,0,1,0,2,1,1,0,7.1,2,1,1,1,0,1,0,2,1,1,0,Draw,6,9,0
Luton,Home,6.9,3,0,0,1,2,0,1,0,1,1,1,6.6,2,1,1,1,0,1,0,2,1,1,0,Draw,6,11,1
Wolves,Guest,6.6,2,1,1,1,0,1,0,2,1,1,0,6.9,3,0,0,1,2,0,1,0,1,1,1,Draw,6,19,0
Man city,Home,7.4,2,1,1,1,0,1,0,2,1,1,0,6.3,3,0,0,1,2,2,1,0,0,0,1,Win,6,12,1
Nottm forest,Guest,6.3,3,0,0,1,2,2,1,0,0,0,1,7.4,2,1,1,1,0,1,0,2,1,1,0,Lost,6,15,0
Brentford,Home,6.4,2,1,1,1,3,0,0,0,1,1,0,7.5,2,1,1,1,2,1,1,0,0,0,1,Lost,6,3,1
Everton,Guest,7.5,2,1,1,1,2,1,1,0,0,0,1,6.4,2,1,1,1,3,0,0,0,1,1,0,Win,6,8,0
Burnley,Home,6.7,2,1,1,1,0,1,0,2,1,1,0,7.4,2,1,1,1,0,1,0,2,1,1,0,Lost,6,5,1
Man utd,Guest,7.4,2,1,1,1,0,1,0,2,1,1,0,6.7,2,1,1,1,0,1,0,2,1,1,0,Win,6,13,0
Arsenal,Home,6.7,2,1,1,1,3,0,0,0,1,1,0,6.9,2,1,1,1,0,1,0,2,1,1,0,Draw,6,0,1
Tottenham,Guest,6.9,2,1,1,1,0,1,0,2,1,1,0,6.7,2,1,1,1,3,0,0,0,1,1,0,Draw,6,17,0
Brighton,Home,7.1,2,1,1,1,0,1,0,2,1,1,0,6.2,2,1,1,1,0,1,0,2,1,1,0,Win,6,4,1
Bournemouth,Guest,6.2,2,1,1,1,0,1,0,2,1,1,0,7.1,2,1,1,1,0,1,0,2,1,1,0,Lost,6,2,0
Chelsea,Home,6.7,2,1,1,1,0,1,0,2,1,1,0,7.2,2,1,1,2,2,0,1,0,0,0,1,Lost,6,6,1
Aston Villa,Guest,7.2,2,1,1,2,2,0,1,0,0,0,1,6.7,2,1,1,1,0,1,0,2,1,1,0,Win,6,1,0
Liverpool,Home,7.7,2,1,1,1,3,0,0,0,1,1,0,6.6,2,1,1,1,0,1,0,2,1,1,0,Win,6,10,1
West ham,Guest,6.6,2,1,1,1,0,1,0,2,1,1,0,7.7,2,1,1,1,3,0,0,0,1,1,0,Lost,6,18,0
Sheffiled utd,Home,5.9,3,0,0,2,0,2,0,1,1,1,0,7.8,2,1,1,1,3,0,0,0,1,1,0,Lost,6,16,1
Newcatle,Guest,7.8,2,1,1,1,3,0,0,0,1,1,0,5.9,3,0,0,2,0,2,0,1,1,1,0,Win,6,14,0
Aston Villa,Home,7.3,2,1,1,2,2,0,1,0,0,0,1,5.7,2,1,1,2,2,0,1,0,0,0,1,Win,7,1,1
Brighton,Guest,5.7,2,1,1,2,2,0,1,0,0,0,1,7.3,2,1,1,2,2,0,1,0,0,0,1,Lost,7,4,0
Bournemouth,Home,6.3,2,1,1,1,0,1,0,2,1,1,0,7.5,2,1,1,1,3,0,0,0,1,1,0,Lost,7,2,1
Arsenal,Guest,7.5,2,1,1,1,3,0,0,0,1,1,0,6.3,2,1,1,1,0,1,0,2,1,1,0,Win,7,0,0
Everton,Home,6.8,2,1,1,1,2,1,1,0,0,0,1,7.2,3,0,0,1,2,2,1,0,0,0,1,Lost,7,8,1
Luton,Guest,7.2,3,0,0,1,2,2,1,0,0,0,1,6.8,2,1,1,1,2,1,1,0,0,0,1,Win,7,11,0
Man utd,Home,6.8,2,1,1,1,0,1,0,2,1,1,0,7.2,2,1,1,1,0,1,0,2,1,1,0,Lost,7,13,1
Crystal palace,Guest,7.2,2,1,1,1,0,1,0,2,1,1,0,6.8,2,1,1,1,0,1,0,2,1,1,0,Win,7,7,0
Newcatle,Home,7.7,2,1,1,1,3,0,0,0,1,1,0,6.3,2,1,1,1,0,1,0,2,1,1,0,Win,7,14,1
Burnley,Guest,6.3,2,1,1,1,0,1,0,2,1,1,0,7.7,2,1,1,1,3,0,0,0,1,1,0,Lost,7,5,0
West ham,Home,7.5,2,1,1,1,0,1,0,2,1,1,0,6.3,3,0,0,2,3,0,1,0,0,0,1,Win,7,18,1
Sheffiled utd,Guest,6.3,3,0,0,2,3,0,1,0,0,0,1,7.5,2,1,1,1,0,1,0,2,1,1,0,Lost,7,16,0
Wolves,Home,7.0,3,0,0,1,2,0,1,0,1,1,1,6.6,2,1,1,1,0,1,0,2,1,1,0,Win,7,19,1
Man city,Guest,6.6,2,1,1,1,0,1,0,2,1,1,0,7.0,3,0,0,1,2,0,1,0,1,1,1,Lost,7,12,0
Tottenham,Home,7.8,2,1,1,1,0,1,0,2,1,1,0,6.3,2,1,1,1,3,0,0,0,1,1,0,Win,7,17,1
Liverpool,Guest,6.3,2,1,1,1,3,0,0,0,1,1,0,7.8,2,1,1,1,0,1,0,2,1,1,0,Lost,7,10,0
Nottm forest,Home,6.9,2,1,1,1,3,0,0,0,1,1,0,6.8,2,1,1,1,3,0,0,0,1,1,0,Draw,7,15,1
Brentford,Guest,6.8,2,1,1,1,3,0,0,0,1,1,0,6.9,2,1,1,1,3,0,0,0,1,1,0,Draw,7,3,0
Fulham,Home,6.1,2,1,1,1,3,0,0,0,1,1,0,7.3,2,1,1,1,3,0,0,0,1,1,0,Lost,7,9,1
Chelsea,Guest,7.3,2,1,1,1,3,0,0,0,1,1,0,6.1,2,1,1,1,3,0,0,0,1,1,0,Win,7,6,0
Luton,Home,6.5,2,1,1,2,2,0,1,0,0,0,1,7.2,2,1,1,1,0,1,0,2,1,1,0,Lost,8,11,1
Tottenham,Guest,7.2,2,1,1,1,0,1,0,2,1,1,0,6.5,2,1,1,2,2,0,1,0,0,0,1,Win,8,17,0
Burnley,Home,6.3,2,1,1,1,3,0,0,0,1,1,0,7.5,2,1,1,1,3,0,0,0,1,1,0,Lost,8,5,1
Chelsea,Guest,7.5,2,1,1,1,3,0,0,0,1,1,0,6.3,2,1,1,1,3,0,0,0,1,1,0,Win,8,6,0
Everton,Home,7.8,2,1,1,1,2,1,1,0,0,0,1,6.0,2,1,1,1,0,1,0,2,1,1,0,Win,8,8,1
Bournemouth,Guest,6.0,2,1,1,1,0,1,0,2,1,1,0,7.8,2,1,1,1,2,1,1,0,0,0,1,Lost,8,2,0
Fulham,Home,7.1,2,1,1,1,3,0,0,0,1,1,0,6.3,3,0,0,2,3,0,1,0,0,0,1,Win,8,9,1
Sheffiled utd,Guest,6.3,3,0,0,2,3,0,1,0,0,0,1,7.1,2,1,1,1,3,0,0,0,1,1,0,Lost,8,16,0
Man utd,Home,7.0,2,1,1,1,0,1,0,2,1,1,0,6.9,3,0,0,2,3,0,1,0,0,0,1,Win,8,13,1
Brentford,Guest,6.9,3,0,0,2,3,0,1,0,0,0,1,7.0,2,1,1,1,0,1,0,2,1,1,0,Lost,8,3,0
Crystal palace,Home,6.8,2,1,1,1,3,0,1,0,0,0,1,6.8,2,1,1,1,3,0,0,0,1,1,0,Draw,8,7,1
